name,values
SMOX,0.0
DEFB106A,0.0007590427
C1R,4.3435352e-06
ST3GAL2,0.0
PDIA3,0.00096934085
ESRP1,0.0
CTDNEP1,0.0
NET1,-0.026277367
ACKR4,0.032664668
KIFC2,0.05180425
HERPUD1,-0.016120678
HIST3H2BB,0.0011799454
MCF2L,0.0027222806
NMB,-5.144001e-08
NDUFAF5,0.0
COPZ1,0.0
IFNA7,0.0040558837
KIF18A,0.009367791
TMED3,0.0
GNS,1.138841e-06
FLT4,0.104538
IFNA5,0.0040019318
ACOX3,0.034299023
TAF13,0.00027676453
PISD,0.0031731753
PON2,4.583328e-06
DCTN6,-3.4444863e-06
CCK,-0.008651988
WWP1,0.043226298
ACTR2,0.0021993658
TAAR5,0.0
MAD1L1,0.019777816
UPF3B,0.00049449806
FLT3,-0.11062095
RHO,0.00053867965
GPD2,-0.02006376
PIP4K2B,0.08428927
PDCD6IP,-0.012030321
RASA2,0.00061107206
CLSPN,-0.011106031
IL1RN,0.011966181
CYP26A1,0.0012039861
TCF7,-1.5249958e-05
ACTG1,0.01441066
FGF2,0.08837472
CHMP3,0.0008013023
SMUG1,0.0
KIF22,0.27649894
STEAP3,0.022317173
UPF3A,0.0
ARHGEF10L,-0.10895732
PCM1,0.0029294554
C1QC,-8.8532815e-08
CHST8,0.4165683
PAFAH1B1,-0.012021856
KMT2D,-0.013010646
PTGER4,-0.0008346503
PLEKHA2,-0.0024852324
PRKAR2B,0.06273384
MCHR1,0.079124555
CFP,0.0
DEFB104A,0.0020646772
CDC37,0.00031474326
GNG3,0.037221014
TSHB,0.0035112174
ADAMTS17,-0.021551693
ROCK1,-0.011726163
CNTF,0.099431366
GPC2,0.012276074
CASP9,-0.00071656966
IFNA10,-0.0019968979
IGFBP1,0.0
MEAF6,0.0005125863
RNLS,0.0
SOCS1,0.14165556
B9D2,-0.015741803
CLASP2,-0.01605784
MUC13,-0.016555786
SATB2,0.7457047
MUC5AC,0.18585962
MLH1,-0.00038825074
SEMA4A,-0.110545695
PLD3,0.015015525
PCBP4,0.0
TLR1,0.015322556
ADPRHL2,-9.722324e-08
CHRNA7,-0.001958422
CHMP4A,-0.040017687
RAD1,-0.06905663
SKI,0.0044164523
POU4F1,0.0
CRLF1,0.0036466657
NGF,0.31026843
PDE1B,0.0
HUS1,0.0
RPS3,0.0
TRPC5,0.005386455
TAX1BP3,1.2889677e-06
CANX,1.4552532e-05
POLR2F,-0.03786021
HNRNPF,0.09426027
NPY,0.0
GTF2E1,0.054291774
PMS2,0.0003559638
GPI,-0.014073706
JAK1,-0.04982128
CSNK2A1,-0.03572531
CYP2A13,-0.0012237297
PPP2R2A,0.0096131
STK11,0.11488413
SEMA6D,-0.0109041035
ARHGEF39,0.103669085
OPN3,0.0
IQGAP3,-2.4686003e-06
NFATC1,0.0
MAML3,0.19708256
PSME2,-0.1505007
RPSA,-0.019657709
NDUFB1,-1.0674261e-07
PLEKHG2,0.015730571
LTC4S,0.0064365887
SQSTM1,0.22787908
EFNA3,0.0
ARHGAP35,0.037365466
CPSF1,0.056656808
P2RY14,0.018168598
CHST12,-0.01337531
DSEL,0.10269372
FGF23,-0.029500917
NUDT15,0.0
ARHGEF10,-0.10678005
SCD,0.0
TUBGCP5,0.009469209
SLC30A2,1.6569061e-07
PIP5K1A,0.03489712
FGF1,0.08922507
NPS,0.0
BUB1,0.041370913
NFKBIB,0.13406228
MUC3A,-0.008423451
PDP2,0.0
CYP4F11,0.0006273601
PRKACA,0.018694805
SKP1,-0.10758157
SLC44A1,0.017341975
HIST2H2BE,0.0
GFPT2,0.1352283
ACTL6B,0.024552267
FUCA1,0.040272698
NEU3,0.32867914
IL12RB1,-0.001677318
COX8A,0.01919559
FFAR2,3.5214744e-05
ERCC3,0.041371647
DYNC1H1,0.038258713
CNOT6L,0.19866788
RUFY1,0.007741858
PDE1C,0.49597716
NUP133,0.41359696
AGO3,0.00019544853
RPL15,-0.002204224
CAPZB,-0.003954517
CCR5,0.0
GLYATL2,0.012028104
SPRED3,0.06593008
CCL27,0.00059743784
MSX2,0.10476057
NCAPG,0.0
EIF4H,0.0003579494
SV2A,0.0
OFD1,0.25388476
CD4,0.0019228916
BMF,0.00074088224
NSL1,0.0
FGF18,0.0034015733
ANAPC15,0.08646776
EDNRB,0.14437486
PLA2G5,-0.20813298
FLRT3,-0.010391202
CXCR6,-6.2920947e-07
SLC22A13,-1.7789597e-06
NEIL2,0.012980232
CXCL6,0.0123468675
COX7B,0.044195224
FZD7,0.00086555374
APBB1IP,0.0
TAC3,0.028725395
AGRN,-0.012683912
UNG,0.00019302424
GJB3,0.0016530987
NRIP1,0.0
CHAC1,0.024982298
ROCK2,0.0
PINK1,0.011209294
DEFB134,0.0022653094
YWHAQ,0.035532214
CDK11B,-0.00025433014
PON1,0.0025398894
HDAC9,-0.0010822993
STAB2,-0.0024164203
TPX2,0.0006075997
TUBB3,0.0035632222
KIF3B,0.0
PIK3R1,0.0017930047
TAF4B,8.993162e-05
SLCO1B3,0.00046430028
RICTOR,-0.058490463
XRCC6,0.0068715042
ACOT4,0.0003469414
RPS6,0.0074533545
HTR6,7.0529255e-05
PIP4K2C,0.35849524
PSMB8,0.09110519
GLB1L,0.037932575
DEFB105A,0.0031666001
B3GAT3,0.017006572
PDK4,0.0004697882
IL1RL1,0.00065616897
SLC39A3,0.0
AGTR2,0.007028601
DVL2,0.0
PRDX1,0.0
CPSF2,0.032082174
CFTR,-5.1289673e-05
ACTR3,0.014882425
UBA52,0.014650741
MAP2K2,0.0052661533
CEP70,0.0237225
LMNB1,-0.023952626
