name,values
R-HSA-9006934,6.577224
R-HSA-211859,0.010252671
R-HSA-9675151,0.0
R-HSA-1428517,0.18675688
R-HSA-425407,3.814397
R-HSA-71291,0.6489745
R-HSA-73884,0.0015135943
R-HSA-9006936,0.11354694
R-HSA-72766,0.6524295
R-HSA-556833,1.4775479
R-HSA-1296071,0.007092637
R-HSA-168249,0.66087914
R-HSA-73886,0.47541052
R-HSA-5663202,0.5985178
R-HSA-199991,2.7385101
R-HSA-15869,0.025320604
R-HSA-71387,1.4121044
R-HSA-5683057,-4.2362404e-05
R-HSA-5668914,1.2286805
R-HSA-163685,1.5253508
R-HSA-372790,0.4190082
R-HSA-9675132,0.0
R-HSA-69239,1.0869981
R-HSA-69620,1.1765348
R-HSA-597592,5.6227045
R-HSA-9645723,3.9634324e-06
R-HSA-5218859,2.422739
R-HSA-9006925,0.025717892
R-HSA-72203,0.24592444
R-HSA-195721,0.96646535
R-HSA-9716542,0.089342356
R-HSA-9675108,1.1868818
R-HSA-9675126,0.0
R-HSA-196854,0.02848141
R-HSA-73887,0.37635323
R-HSA-112315,0.20585597
R-HSA-1632852,0.0005299815
R-HSA-9671793,0.0
R-HSA-446728,0.0002081741
R-HSA-391251,0.12238628
R-HSA-1280215,2.148587
R-HSA-157118,1.6049982
R-HSA-9006931,0.9115669
R-HSA-109581,3.486002
R-HSA-1280218,6.915661
R-HSA-5693532,0.024728168
R-HSA-73857,5.3355126
R-HSA-2262752,2.000948
R-HSA-69278,0.81942457
R-HSA-5663205,4.499334
R-HSA-9675135,0.0
