name,values
SMOX,0.0
DEFB106A,7.298335e-05
C1R,2.299772e-05
ST3GAL2,0.035621516
PDIA3,-0.050559785
ESRP1,0.0
CTDNEP1,0.0
NET1,-0.10793453
ACKR4,0.09522603
KIFC2,0.01292195
HERPUD1,-7.3913598e-06
HIST3H2BB,0.039577097
MCF2L,0.05936082
NMB,0.0
NDUFAF5,-0.0034652047
COPZ1,0.0
IFNA7,0.1805106
KIF18A,0.010858977
TMED3,0.0
GNS,1.7836225e-06
FLT4,0.06949479
IFNA5,0.038380396
ACOX3,0.048108377
TAF13,0.03346545
PISD,0.02115585
PON2,0.01606481
DCTN6,9.756495e-05
CCK,0.0
WWP1,0.08310719
ACTR2,0.091494456
TAAR5,0.0
MAD1L1,0.07339671
UPF3B,-0.0003836981
FLT3,-0.17261882
RHO,0.016041605
GPD2,-0.10678251
PIP4K2B,0.18121135
PDCD6IP,0.0
RASA2,6.963497e-05
CLSPN,-0.00023890223
IL1RN,0.019395612
CYP26A1,0.0022153424
TCF7,-2.374867e-06
ACTG1,0.030003987
FGF2,0.19997588
CHMP3,0.03261807
SMUG1,0.0
KIF22,0.1308824
STEAP3,0.13718267
UPF3A,0.0055264244
ARHGEF10L,-0.3493143
PCM1,0.0024052444
C1QC,6.37594e-05
CHST8,0.0005250049
PAFAH1B1,-0.21902832
KMT2D,1.1846802e-05
PTGER4,-0.01061328
PLEKHA2,-0.06704184
PRKAR2B,0.20857808
MCHR1,0.02659638
CFP,0.0
DEFB104A,0.0006097611
CDC37,-0.014414593
GNG3,0.011021053
TSHB,0.0018629874
ADAMTS17,-0.076075345
ROCK1,-0.058351286
CNTF,0.018128682
GPC2,0.043369383
CASP9,-0.008623203
IFNA10,0.13374476
IGFBP1,0.0
MEAF6,0.0
RNLS,0.0
SOCS1,0.4997065
B9D2,-0.152408
CLASP2,0.0
MUC13,0.11462869
SATB2,0.48000926
MUC5AC,0.4941983
MLH1,0.0
SEMA4A,-0.07579947
PLD3,0.00049756264
PCBP4,-0.0027811145
TLR1,0.13646229
ADPRHL2,4.4061817e-06
CHRNA7,-0.056909367
CHMP4A,0.030322928
RAD1,-0.15844665
SKI,-0.0015453983
POU4F1,0.0
CRLF1,0.12198678
NGF,0.83878237
PDE1B,0.0
HUS1,0.0
RPS3,0.0
TRPC5,0.00084589503
TAX1BP3,6.0157447e-05
CANX,0.0860834
POLR2F,-0.05265528
HNRNPF,0.23424923
NPY,0.0070926417
GTF2E1,0.114330396
PMS2,0.054190774
GPI,0.16225564
JAK1,-0.10635752
CSNK2A1,-0.07646142
CYP2A13,0.003735161
PPP2R2A,0.06384427
STK11,0.51153535
SEMA6D,-0.102483466
ARHGEF39,0.22048777
OPN3,0.0
IQGAP3,-0.029877055
NFATC1,-0.0036384682
MAML3,0.009550378
PSME2,0.31326282
RPSA,0.0
NDUFB1,0.14869706
PLEKHG2,0.022125233
LTC4S,0.114228755
SQSTM1,0.6628419
EFNA3,0.00012914048
ARHGAP35,0.015882267
CPSF1,0.17066947
P2RY14,0.02330782
CHST12,0.15091872
DSEL,0.05911789
FGF23,0.0
NUDT15,0.0
ARHGEF10,0.224509
SCD,0.0
TUBGCP5,0.008191672
SLC30A2,-0.010650329
PIP5K1A,0.037465487
FGF1,0.049810402
NPS,0.004974409
BUB1,0.0861426
NFKBIB,0.10708454
MUC3A,-0.0218869
PDP2,0.0
CYP4F11,0.0062937085
PRKACA,0.29483435
SKP1,-0.04886609
SLC44A1,0.027476776
HIST2H2BE,0.0
GFPT2,-0.0005876926
ACTL6B,0.01377228
FUCA1,0.0016860354
NEU3,-0.011472947
IL12RB1,0.0047138655
COX8A,0.0064103324
FFAR2,0.06937267
ERCC3,0.10562823
DYNC1H1,-0.004702422
CNOT6L,0.4698137
RUFY1,0.21411581
PDE1C,0.3689802
NUP133,0.7818999
AGO3,0.026272552
RPL15,0.0
CAPZB,0.002528917
CCR5,0.0
GLYATL2,-2.0807059e-07
SPRED3,-0.00052504364
CCL27,4.344317e-05
MSX2,0.060265943
NCAPG,0.0
EIF4H,0.00072850037
