name,values
SMOX,0.0
DEFB106A,7.2647965e-10
C1R,3.122821e-05
ST3GAL2,0.010875944
PDIA3,3.728755e-05
ESRP1,0.0
CTDNEP1,0.0
NET1,-0.021468502
ACKR4,0.045145962
KIFC2,-0.0025308356
HERPUD1,-0.00079338695
HIST3H2BB,0.00681398
MCF2L,0.32058477
NMB,-0.00061738334
NDUFAF5,-0.029780373
COPZ1,0.0
IFNA7,0.068605304
KIF18A,0.065993555
TMED3,0.0
GNS,4.8546484e-05
FLT4,0.0041488484
IFNA5,0.034546863
ACOX3,0.0016631894
TAF13,0.005634632
PISD,9.262921e-06
PON2,0.00010579213
DCTN6,0.0023502912
CCK,-0.012934895
WWP1,0.049285248
ACTR2,0.034082737
TAAR5,0.0
MAD1L1,0.08477055
UPF3B,-0.0010530187
FLT3,-0.15200368
RHO,0.009195788
GPD2,-0.0810255
PIP4K2B,0.23542103
PDCD6IP,-0.017569039
RASA2,0.00453287
CLSPN,-0.0008081633
IL1RN,0.004765654
CYP26A1,0.008041201
TCF7,-3.651855e-05
ACTG1,0.021235656
FGF2,0.009227979
CHMP3,0.0
SMUG1,0.0
KIF22,0.22225739
STEAP3,0.055710316
UPF3A,0.0005587695
ARHGEF10L,-0.035811722
PCM1,0.0013873677
C1QC,-7.8333176e-07
CHST8,0.19748329
PAFAH1B1,-0.16629454
KMT2D,-0.0023289928
PTGER4,-9.0694746e-05
PLEKHA2,-0.028390184
PRKAR2B,0.01960453
MCHR1,0.08635122
CFP,0.0
DEFB104A,-4.055736e-09
CDC37,-0.0049805185
GNG3,0.15771738
TSHB,-0.004517503
ADAMTS17,-0.06432931
ROCK1,-0.041612938
CNTF,0.3313822
GPC2,0.024695273
CASP9,-0.02879598
IFNA10,0.0011031257
IGFBP1,0.0
MEAF6,-0.024099909
RNLS,0.0
SOCS1,0.17561303
B9D2,-0.061910264
CLASP2,-0.023645986
MUC13,0.046164796
SATB2,0.5748191
MUC5AC,0.34817484
MLH1,-0.002693715
SEMA4A,-0.20664093
PLD3,0.104165696
PCBP4,-2.5110228e-05
TLR1,0.06846471
ADPRHL2,9.7537395e-08
CHRNA7,-7.8032215e-05
CHMP4A,0.00031953366
RAD1,-0.09113574
SKI,-0.0010488337
POU4F1,0.0
CRLF1,0.10663554
NGF,0.5732352
PDE1B,0.0
HUS1,0.0
RPS3,0.0
TRPC5,0.021354768
TAX1BP3,-0.00019820215
CANX,0.0331041
POLR2F,-0.15691319
HNRNPF,0.05456777
NPY,0.00052501116
GTF2E1,0.0037510116
PMS2,0.1632312
GPI,0.18040988
JAK1,-0.14048962
CSNK2A1,-0.066707484
CYP2A13,-0.018820971
PPP2R2A,0.00023561982
STK11,0.24977031
SEMA6D,-0.08693616
ARHGEF39,-0.047089294
OPN3,0.0
IQGAP3,-0.006234832
NFATC1,-0.006724227
MAML3,0.34452114
PSME2,-0.10582124
RPSA,-0.023012223
NDUFB1,0.0376155
PLEKHG2,0.06709328
LTC4S,0.0061181034
SQSTM1,0.11127645
EFNA3,0.0068316925
ARHGAP35,0.023288613
CPSF1,0.031417996
P2RY14,0.00032231092
