name,values
SMOX,0.0
DEFB106A,0.0097377645
C1R,0.0
ST3GAL2,-2.9381647e-05
PDIA3,-0.0010378556
ESRP1,0.0
CTDNEP1,0.0
NET1,-0.0575265
ACKR4,-0.0011229074
KIFC2,0.037770834
HERPUD1,1.0429292e-05
HIST3H2BB,0.0076645203
MCF2L,0.16141854
NMB,-0.00058201124
NDUFAF5,-0.0032708112
COPZ1,0.0
IFNA7,0.019044578
KIF18A,0.08618123
TMED3,0.0
GNS,0.0
FLT4,0.004513984
IFNA5,0.022204986
ACOX3,0.021173727
TAF13,0.07184173
PISD,0.022341615
PON2,0.0003808103
DCTN6,0.0037466325
CCK,-0.0005882158
WWP1,0.1386811
ACTR2,0.02064322
TAAR5,0.0
MAD1L1,-0.013194142
UPF3B,9.4727446e-05
FLT3,-0.14425881
RHO,0.045855947
GPD2,0.0
PIP4K2B,0.04580528
PDCD6IP,-0.004754017
RASA2,0.003950285
CLSPN,-0.017019138
IL1RN,0.0037043854
CYP26A1,2.4447596e-07
TCF7,-0.00026073103
ACTG1,0.013896307
FGF2,0.0003366243
CHMP3,0.028462699
SMUG1,0.0
KIF22,0.33707827
STEAP3,1.6623908e-06
UPF3A,0.00048166938
ARHGEF10L,-0.14842784
PCM1,0.0076934956
C1QC,-1.6885133e-05
CHST8,0.62408274
PAFAH1B1,-0.13704465
KMT2D,-0.0074242987
PTGER4,0.0016423529
PLEKHA2,0.0
PRKAR2B,0.2405754
MCHR1,-0.00030566903
CFP,0.0
DEFB104A,0.0033864765
CDC37,5.3289536e-05
GNG3,0.12100601
TSHB,0.0013705113
ADAMTS17,-0.10876703
ROCK1,-0.06364322
CNTF,0.18896982
GPC2,0.052894283
CASP9,0.00044994784
IFNA10,0.11273762
IGFBP1,0.0
MEAF6,-0.0024291705
RNLS,0.0
SOCS1,0.47095808
B9D2,0.025307434
CLASP2,-0.021283608
MUC13,0.015558042
SATB2,0.50534844
MUC5AC,0.011396993
MLH1,-0.00014781978
SEMA4A,-0.18983352
PLD3,0.024696657
PCBP4,0.0006040583
TLR1,0.11842491
ADPRHL2,-2.325793e-10
CHRNA7,-0.007766939
CHMP4A,-0.013444245
RAD1,-0.049198184
SKI,1.7715151e-06
POU4F1,0.0
CRLF1,-0.008040158
NGF,0.52143943
PDE1B,0.0
HUS1,0.0
RPS3,0.0
TRPC5,0.016965957
TAX1BP3,-0.0001471389
CANX,-0.00030902543
POLR2F,-0.10162747
HNRNPF,0.0056908475
NPY,-0.00031239854
GTF2E1,0.12871751
PMS2,0.008050032
GPI,0.05369816
JAK1,-0.18581486
CSNK2A1,-0.042222627
CYP2A13,-0.00079743273
PPP2R2A,0.0032188632
STK11,0.06322544
SEMA6D,-0.0051839603
ARHGEF39,0.003610419
OPN3,0.0
IQGAP3,-0.005259931
NFATC1,-0.00077226205
MAML3,0.30234486
PSME2,-0.0659797
RPSA,-0.022179632
NDUFB1,0.025660107
PLEKHG2,-0.10580858
LTC4S,0.015060958
SQSTM1,0.016528217
EFNA3,0.0064236238
ARHGAP35,0.008252583
CPSF1,0.0048776222
P2RY14,-0.0007224248
CHST12,0.007885992
DSEL,0.03819459
FGF23,-0.048264965
NUDT15,0.0
ARHGEF10,-0.064642
SCD,0.0
TUBGCP5,-0.0051080165
SLC30A2,0.0
PIP5K1A,0.05307816
FGF1,-0.0021191363
NPS,-1.3866724e-05
BUB1,0.013431661
NFKBIB,-0.045761496
MUC3A,0.0036666724
PDP2,0.0
CYP4F11,7.3543524e-05
PRKACA,0.2061892
SKP1,-0.066851035
SLC44A1,0.03039236
HIST2H2BE,0.0
GFPT2,0.0012514615
ACTL6B,0.074212044
FUCA1,0.00018565422
NEU3,0.30733842
IL12RB1,-0.0001644565
COX8A,0.0068252613
FFAR2,-0.0023063526
ERCC3,0.03372174
DYNC1H1,-0.0042120554
CNOT6L,0.07363274
RUFY1,0.13548999
PDE1C,0.5294963
NUP133,0.35832378
AGO3,0.039821446
RPL15,-0.038940854
CAPZB,0.0021433039
CCR5,0.0
GLYATL2,0.029748261
SPRED3,-0.1626291
CCL27,0.002858054
MSX2,0.03478852
NCAPG,0.0
EIF4H,0.0
SV2A,0.0
OFD1,0.46970087
CD4,0.002793161
BMF,-0.0002150877
NSL1,0.0015237499
FGF18,0.14356354
ANAPC15,0.15215866
EDNRB,0.060925197
PLA2G5,-0.08200123
FLRT3,-0.0019475515
CXCR6,-1.1317982e-05
SLC22A13,-5.2083765e-06
NEIL2,0.20589274
CXCL6,0.016403714
COX7B,0.1322732
FZD7,0.0015617396
APBB1IP,0.0009922336
TAC3,0.0
AGRN,-0.045696292
UNG,0.0022508018
GJB3,-0.0030564747
NRIP1,0.0
CHAC1,0.03814571
ROCK2,0.0
PINK1,0.0010144959
DEFB134,0.014105093
YWHAQ,0.4220206
CDK11B,-0.003050678
PON1,6.775505e-07
HDAC9,0.0006546606
STAB2,-0.013023456
TPX2,0.07561271
TUBB3,-8.537737e-05
KIF3B,0.0
PIK3R1,0.41166502
TAF4B,0.010471477
SLCO1B3,0.00041786954
RICTOR,0.00013502938
XRCC6,0.049345523
ACOT4,0.029025804
RPS6,0.03129776
HTR6,-0.07047754
PIP4K2C,0.51486427
PSMB8,0.24972695
GLB1L,0.0002726502
DEFB105A,0.0036841126
B3GAT3,0.0044064643
PDK4,0.0049885185
IL1RL1,0.0063355938
SLC39A3,0.0
AGTR2,0.001842977
DVL2,0.0
PRDX1,-0.00569637
CPSF2,0.1434058
CFTR,0.10699014
ACTR3,0.038121577
UBA52,0.31905583
MAP2K2,0.0048566666
CEP70,0.097570166
LMNB1,-0.0084606325
DAB2IP,0.0012269944
BCL2L11,0.104635686
PKN1,0.04192797
OGG1,0.0
AMFR,-0.0033377558
NDUFA1,-0.0019742118
PIK3R4,0.0021796948
PSMB4,0.0360056
IRF7,0.0065280786
GAB1,0.0
SERPINE1,0.0
TP53BP1,-0.04070547
PITPNA,-0.006865604
SLC22A8,-4.0630865e-05
HS3ST6,0.08697359
OSBPL5,0.018763077
MAPK11,0.016718047
CACNA1D,0.0
ADCYAP1,0.053518087
CDC14A,0.0
GRIK5,0.12830375
LPGAT1,0.0024859658
CCR3,0.0
CRKL,0.036183387
CALM1,0.42144856
MEN1,0.0003697173
NDUFB8,0.0
ERBB3,0.0
AGO1,-0.013050467
STARD10,0.10732812
DUSP1,-2.242071e-05
DEFA1,0.004204221
ACAA1,-0.0073675257
PTK2B,0.0041103614
DIAPH1,-0.0041188113
RAE1,0.0
MAF1,0.024941593
OSBPL10,0.0
EFNA1,0.0012112114
RPA3,0.3261764
VPS4A,0.049593523
AKR1C4,-0.038265605
DEFB128,-0.0002453153
RIPK3,-0.018133111
CHRND,0.012149431
HOXA2,-0.0047557894
NRG1,0.9509106
CTNND1,0.044200197
LCK,-0.056877837
HRASLS2,0.03584976
TXNIP,-0.09567851
PIP4K2A,0.15117218
CYSLTR1,0.046501443
CHST5,-0.013122479
NCBP2,0.09094256
TGFA,0.0020898213
SERPINH1,-0.00025278886
NOC2L,-0.029178318
CHMP2A,-0.0361593
AP1M1,0.00090289285
IFNAR2,-0.05785947
GRIA1,0.02836864
CHRNA2,-0.00011837433
CALR,0.00048699538
SEC22B,-0.32937062
ACOT6,0.0006946798
HRH2,0.08460701
KMT2B,-0.051800165
BRS3,0.0
ASF1A,0.0
TUBA1A,-0.0068905894
GLI3,0.0
HPSE2,0.0
ARID2,-0.032787155
TLR5,0.052716833
NUDT1,0.00011124002
NEDD4L,0.2886842
TFDP2,0.032032896
LHX2,0.0
CYP51A1,0.0006350662
EPHB1,-1.1568917e-05
CDCA8,-0.024226844
ECSIT,0.0062982035
TSPO,0.16689314
DEFA5,0.0012085445
MASTL,3.3482002e-09
POMC,0.0
RGCC,0.0
CGA,0.23542207
ARHGEF28,0.04069911
CCNE2,0.16008465
CDK5,0.05193466
FUT3,0.0
IL2RA,-0.006697724
CCT7,-0.011052203
SCN1B,1.7871452e-08
WFS1,0.10692253
RNF139,0.0036030973
PRKCSH,9.3450115e-05
HSD3B2,-0.0055223056
COL6A6,0.031839326
POLR2I,0.14409818
ARFGAP1,-0.33850724
CX3CR1,-0.00040762287
OSBP,0.12477128
GCK,0.0
HS6ST2,0.017861146
HAUS4,0.000274433
NDUFS6,0.005070175
CD86,0.053385828
DRD5,0.018890418
SMC3,0.0058212345
CUL1,0.26156744
TUBB6,0.0
NDUFAF4,0.0033736706
SCRIB,0.0
RPS6KA4,0.011742903
NDUFB4,0.023244925
CLASP1,0.193633
SEC62,0.023106921
IL27,0.0
RPS25,0.020648379
GNB1,-0.042257357
VAV1,0.0
ALOX15,-0.0036661553
HSPA2,0.0
MKNK1,0.0
UBE2V1,-0.10583943
COX6B1,0.049075346
TYROBP,0.041427664
ABR,0.0
PRMT5,-0.0010832372
RANBP2,0.00036504556
IL1F10,-0.00047603255
ST8SIA6,-0.079878695
MLST8,0.123145305
TOPBP1,0.30107105
TNFRSF10C,0.00023046028
GNE,0.14420918
DEFB103A,0.015760252
TRIM24,0.06380601
OSBPL3,0.017407145
FMOD,0.0
CEP250,0.06764424
NR1I2,0.0096423635
NR3C1,0.03422401
TAF12,-0.003199247
MFN2,-0.016726725
OSM,-0.035492674
TERT,0.0
ZBP1,0.0
YY1,0.07091911
HTR5A,0.34987488
IL1RL2,0.004096323
PFN1,0.0032480636
RCC1,-0.051364098
NDUFB9,0.0014310875
CENPH,0.00028336293
TNFRSF10D,1.4311332e-05
GJB5,-0.0008245689
ARF1,0.6391847
MASP2,-5.836964e-05
MAP2K7,0.00343691
AGO4,0.0010381779
SBF2,0.25562158
SDC3,-0.008706653
AVP,-0.010181801
PPIA,0.0
SUOX,0.0
SMC5,0.0008108198
RPL11,-0.00025153227
DRD3,-0.081631154
BAMBI,0.38862583
TRIM25,0.22511846
ACKR1,0.002952062
PDE4A,-0.0006505408
CACNG2,0.0
